Source,Target,Type,Weight
83615933,319902747,Undirected,1
83615933,80297834,Undirected,1
112965850,83615933,Undirected,3
112965850,102240858,Undirected,3
112965850,71864965,Undirected,3
112965850,245920071,Undirected,3
112965850,174616480,Undirected,3
112965850,170321354,Undirected,3
112965850,260144297,Undirected,1
112965850,38390617,Undirected,1
112965850,136457641,Undirected,1
112965850,68203841,Undirected,1
112965850,289231280,Undirected,1
112965850,208367943,Undirected,1
112965850,174749662,Undirected,1
112965850,8663167,Undirected,1
112965850,42753289,Undirected,1
112965850,170509326,Undirected,1
112965850,162184818,Undirected,1
112965850,241743534,Undirected,1
112965850,173167333,Undirected,1
112965850,142032925,Undirected,1
112965850,180741084,Undirected,1
112965850,273898080,Undirected,1
112965850,85629046,Undirected,1
112965850,79602929,Undirected,1
112965850,77114754,Undirected,1
112965850,213187641,Undirected,1
112965850,170177193,Undirected,1
112965850,152552303,Undirected,1
112965850,183461185,Undirected,1
112965850,63748708,Undirected,1
112965850,260814912,Undirected,1
112965850,67167968,Undirected,1
112965850,61682632,Undirected,1
112965850,174017230,Undirected,1
112965850,127299042,Undirected,1
112965850,132879974,Undirected,1
112965850,375492473,Undirected,1
112965850,197824522,Undirected,1
112965850,112359351,Undirected,1
112965850,196285648,Undirected,1
112965850,12735095,Undirected,1
112965850,107112564,Undirected,1
112965850,191902624,Undirected,1
112965850,111646949,Undirected,1
112965850,169943981,Undirected,1
112965850,131017245,Undirected,1
112965850,228046657,Undirected,1
112965850,182106716,Undirected,1
112965850,169511406,Undirected,1
112965850,83503427,Undirected,1
112965850,115597241,Undirected,1
112965850,80269553,Undirected,1
112965850,50536772,Undirected,1
112965850,284139226,Undirected,1
71864965,83615933,Undirected,3
71864965,112965850,Undirected,3
71864965,102240858,Undirected,3
71864965,245920071,Undirected,3
71864965,174616480,Undirected,3
71864965,170321354,Undirected,3
71864965,93237455,Undirected,1
71864965,42062733,Undirected,1
71864965,82902776,Undirected,1
71864965,91168350,Undirected,1
71864965,145811692,Undirected,1
71864965,373813173,Undirected,1
71864965,103212974,Undirected,1
71864965,350432767,Undirected,1
71864965,74719711,Undirected,1
71864965,31348074,Undirected,1
71864965,166355510,Undirected,1
71864965,80950682,Undirected,1
71864965,103123262,Undirected,1
71864965,194139056,Undirected,1
71864965,40538365,Undirected,1
71864965,211008343,Undirected,1
71864965,216272982,Undirected,1
71864965,198655971,Undirected,1
71864965,146827468,Undirected,1
71864965,35143901,Undirected,1
71864965,135802183,Undirected,1
71864965,9237453,Undirected,1
71864965,125680679,Undirected,1
71864965,30239709,Undirected,1
71864965,176323282,Undirected,1
71864965,373656100,Undirected,1
71864965,82037740,Undirected,1
71864965,127741450,Undirected,1
71864965,93642987,Undirected,1
71864965,314264248,Undirected,1
71864965,246494217,Undirected,1
71864965,57839307,Undirected,1
71864965,115367684,Undirected,1
71864965,14948056,Undirected,1
71864965,28737012,Undirected,1
71864965,50270981,Undirected,1
71864965,116200402,Undirected,1
71864965,57827426,Undirected,1
245920071,83615933,Undirected,3
245920071,112965850,Undirected,3
245920071,102240858,Undirected,3
