Id,mmr
503114,0
106845161,3050
88583490,3383
204911094,3037
155312525,3045
409246862,3413
265629228,0
126476835,3034
411030166,0
371068597,3299
27700822,3084
150249606,3209
128358244,0
238089318,2988
170622218,2019
240220353,2512
30780245,2944
202083545,3410
313707010,3332
375434618,3009
158381939,0
73327208,0
291614382,2661
255006615,3357
244273649,0
119510979,3158
54111762,3052
100510866,0
219261695,0
407906425,0
176482298,0
168928433,0
167911929,2958
131722020,3106
297067373,2570
107586698,3243
343195091,3232
58967503,0
114458866,0
299669718,0
318148199,2944
1187659,2855
10279897,3360
405151013,2878
157873575,0
4741050,0
134864863,2422
193640090,0
136481937,2920
198934659,0
363195110,0
301611761,0
194200548,0
392349687,2302
230191966,2524
255718157,1351
131065130,2191
115699172,0
162130882,0
122248113,0
131804058,0
206527410,2804
341927426,2326
181670387,2820
253599405,2849
204992655,0
284773106,0
320774740,0
300710356,2866
274897816,0
401511750,0
102520768,3080
38029619,0
369802011,0
191994837,0
170828593,4235
237999382,2707
181631299,2351
272548652,3014
229116835,2595
150715870,3044
153813614,3611
253569979,0
322734119,2939
39483958,0
133378295,0
65445022,0
136065459,3585
190530672,3012
153400288,2943
253297264,0
223926717,0
17171104,3701
302996,2889
22418459,4037
175755766,2528
11026776,0
108065781,0
152675751,2451
293442626,2699
416488131,3145
86819989,3615
138951493,3987
113809464,3527
3902489,3593
86781926,3978
219929994,0
183227947,0
126251498,2843
133666698,3037
79081082,0
173421635,3096
110443103,3243
27634000,3064
156067448,3216
320786801,0
277383086,0
311529363,0
305730037,0
104713253,3164
146173553,0
133684882,3209
17347141,3304
38719573,3580
174785221,3752
86857634,3554
20375071,3677
92580150,3012
130921373,3134
88721968,3309
183290391,3028
87022132,0
78496127,0
95198472,2996
66227153,3178
140544647,2980
121378112,0
101470274,3950
381207621,3260
135058606,0
413361961,3077
152205552,2694
140846719,0
108335015,0
127374375,3155
237502482,0
93653920,3118
161962185,3156
117614563,1795
101194393,2467
344675369,3112
89288223,0
98907066,0
148954681,0
207497735,0
100703785,3217
276083318,2899
126295784,2933
121255796,2872
176008918,0
461933440,3224
276606334,3282
186630311,3027
300730973,3120
52835099,0
104567044,3111
89099242,3059
227753609,4617
56462016,0
315512031,1030
325649374,4277
101728487,3026
99535562,4350
189860319,3415
312919489,3198
458303620,2542
134263583,0
387294951,0
200382952,0
202656417,3302
245860260,1606
99782285,4011
84310350,3485
208175841,0
53576227,2600
362355691,2981
461084598,0
10669028,3154
313415321,3155
102835327,3013
189496189,2218
191053546,0
187874380,0
152337166,2883
259929309,2677
129953113,3050
75176900,3044
105939479,2842
114232397,3036
145257940,0
102258581,0
208015239,3245
66878399,0
147060203,0
115997992,0
195380178,4036
103523544,3210
74712163,3150
29757702,3248
112749729,0
414449617,3451
352843509,3967
29185842,3108
66193425,3298
150756431,3126
133257799,0
153594431,3316
164502601,3074
4099663,3218
45234508,3457
324964935,3083
203457789,3023
47789116,2929
119194842,3085
335357600,3001
76008392,0
102512608,0
86717693,0
359979372,2869
184333776,3635
72862979,3415
3107248,2815
380608742,0
132976431,2977
68945288,2878
311458927,2814
150870424,0
149340996,0
159325444,3416
172418199,2869
16818654,3038
251167608,2923
423384332,0
154509440,3149
145926775,3093
36765163,3047
184525661,3416
141427356,0
64878115,0
100748539,3102
191561678,3278
11643230,3186
365118619,2997
230113322,2544
167157059,0
369760415,3706
212727825,4145
363584573,3171
70019233,0
160051537,0
137564510,3154
211965561,4005
110769637,3159
181210814,0
104053146,0
405371748,3234
346439435,3129
341760476,3479
136157820,3487
74114942,2784
236444953,0
53527481,0
428279535,3179
51853851,2654
183546102,3320
256856928,0
106676720,3014
84673170,2914
412617002,3259
202908355,3219
287348808,0
100774130,3343
125270270,3266
84103474,3442
447176207,3155
167998959,3286
301980769,0
100000640,3414
364142835,4236
393223681,3202
94092010,3107
6990457,3320
118496762,3515
181331658,3260
49943786,3149
109198537,2920
98229918,4134
109831795,3603
347134221,3009
75754890,3294
84398348,3413
38845463,3504
133812089,3029
86755680,3554
365331645,0
130649573,0
34439254,0
117163193,2355
157646143,3388
127372276,0
406788626,0
126318478,3129
202492238,0
117386534,0
145151602,3236
312937453,3504
117891413,3221
316492629,0
100016853,3240
128766301,3320
136553160,3648
161709356,2015
466525634,0
320319530,0
334052430,3057
127940719,0
71336153,0
197624930,2823
134961568,2875
290317290,2355
171344120,2901
308728665,2676
187685385,0
202980924,3012
105798141,2218
104989840,0
102453465,0
19740704,2858
63833378,3000
211496914,2901
295132731,3199
173793795,3446
214391063,3274
309431483,3140
163231643,3530
396880173,0
116123915,2966
171345152,3026
372338779,0
165566717,0
301073457,0
171530673,2708
219333594,0
374696015,2567
5683907,0
106035649,0
77516778,0
95619728,0
259501236,2807
419785596,3038
44987638,3004
111642370,1866
54644740,2312
61013923,0
116911797,0
60648058,0
103196008,4434
120442261,4234
94505568,0
148764468,0
190644380,2905
114453295,0
289708500,3102
394127778,2935
338883263,0
65647271,0
233809998,0
68174135,3131
124804793,3035
168929741,2379
124884370,0
122700961,3611
113798581,0
100056562,4583
195678873,3859
201922605,0
136060822,1381
319584546,4146
154012838,2675
197742894,0
137844677,0
253237119,3130
244287223,2982
365300519,4030
137548385,2461
446806066,3252
371240509,2964
99502839,3026
298097229,3011
181606504,1344
100355067,2895
155402935,0
436902819,0
27090607,3478
276395020,0
94344690,0
382266112,2976
202230027,2657
146793485,3392
83941084,2883
120472929,3104
297010290,3229
211675851,2958
114597763,0
158792585,0
148136488,0
86354920,0
111371013,3026
349615989,0
162069948,3154
117043950,2728
105257233,2886
427706786,0
20991701,0
140202953,2926
166797783,2976
72181962,3073
388704088,3277
66199191,3083
125641225,0
60669450,0
178472678,0
96034565,2037
95613669,3304
25995171,2857
387122973,3157
378463417,2646
125854949,0
407756109,0
199579226,0
49847363,0
370703045,3196
164795406,3023
203813718,4115
180407974,2824
92570225,0
27978800,3534
145258516,3118
65670466,3152
43211083,3094
191524216,2872
131016398,0
118328083,4020
453840389,0
120845768,0
49667080,4271
265246040,4742
158439786,4116
143571103,0
10026341,0
183805558,0
64683244,0
164187787,2737
30281442,2956
350501279,4504
30862799,2617
462270264,0
37823004,0
410575218,0
83983178,0
70159002,3318
141676449,3805
139215787,3620
92750128,0
32977019,3063
72345524,0
416580168,0
23865350,0
64432192,3959
58032493,3425
251005212,3241
72517864,0
83781622,0
44481635,0
88737882,3613
337878553,3762
373219869,3055
219147966,3268
95761667,2770
347810953,4012
49888402,4043
28185284,4426
38802984,4334
136693432,4461
158299909,4523
326729942,0
213449697,5055
80668223,4380
151424943,4530
24366081,4419
177620978,4218
50597107,4953
89076871,4416
47986977,4249
250802251,4356
107099545,4110
158773293,4082
375899142,3801
17904526,3457
203968861,4386
10259873,0
12126139,4221
57986989,4696
117935373,4561
221036713,4641
156557975,3906
58866084,4263
26652913,3970
131594055,4007
112529200,4551
248566296,4030
